alexandraY66,"[[b""@lesdeguns_off Vous \xc3\xaates les meilleurs wallah vous faite trop rire . J'esp\xc3\xa8re qui aura une saison 3 \xe2\x9c\x8c\xf0\x9f\x8f\xbc\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbd bisouuuuuuuus"", datetime.datetime(2015, 4, 30, 17, 34, 28)]]"
ElisaOnieva,"[[b""C'est trop bizarre tout \xc3\xa7a, quand m\xc3\xaame."", datetime.datetime(2013, 12, 19, 10, 43, 18)]]"
Steiciethiers,"[[b'@F_benattia  ?', datetime.datetime(2014, 2, 1, 19, 54, 42)]]"
Kali87199817,"[[b""@AmelieDeFreitas je t'aime aussi plus que tout ! \xe2\x99\xa5"", datetime.datetime(2013, 11, 20, 18, 14, 39)]]"
DreeamRJ,"[[b'Never look back \xf0\x9f\x92\x99', datetime.datetime(2013, 8, 29, 18, 9, 17)]]"
